post_id,timestamp,group,text_len,has_images,durable_score,keep,reason,topics,cluster
1,"mar 13, 2025 6:37:43 am",Punto de encuentro: Suiza,6641,1,24.14,1,informational,Swiss politics; Community life; Events and culture,Sistema suizo: política y democracia directa
2,"mar 13, 2025 9:22:37 am",Punto de encuentro: Suiza,38,0,0.13,0,low-density,(unclassified),Miscelánea (Punto de encuentro: Suiza)
3,"mar 15, 2025 6:58:24 pm",Punto de encuentro: Suiza,772,0,4.57,1,informational,Working in Switzerland; Cost of living; Community life,Vida práctica: coste de vida
4,"mai 02, 2025 6:59:32 pm",Pays de Gex,171,0,-1.93,0,low-density,(unclassified),Miscelánea (Pays de Gex)
5,"mai 28, 2025 4:37:23 pm",Españoles que realmente se ayudan en Suiza,151,0,-2.00,0,service-request,Local rules in Geneva,Vida local: Ginebra (normas y multas)
6,"mai 31, 2025 11:40:01 am",Españoles que realmente se ayudan en Suiza,2300,1,9.67,1,informational,Cost of living; Local rules in Geneva; Events and culture,Vida local: Ginebra (normas y multas)
7,"mai 31, 2025 7:25:02 pm",Españoles que realmente se ayudan en Suiza,1761,0,7.87,1,informational,Swiss institutions; Swiss politics; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
8,"juin 03, 2025 3:55:01 pm",Españoles que realmente se ayudan en Suiza,1564,1,7.21,1,informational,Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
9,"juin 04, 2025 11:10:01 am",Españoles que realmente se ayudan en Suiza,2668,1,10.89,1,informational,Swiss institutions; Immigration and permits; Housing; Health system,Trámites: permisos y residencia
10,"juin 05, 2025 7:50:01 pm",Españoles que realmente se ayudan en Suiza,3181,1,12.60,1,informational,Immigration and permits; Working in Switzerland; Housing; Cost of living; Local rules in Geneva,Vida local: Ginebra (normas y multas)
11,"juin 07, 2025 7:58:06 am",Españoles que realmente se ayudan en Suiza,1979,1,8.60,1,informational,Swiss institutions; Housing; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
12,"juin 08, 2025 8:55:01 am",Españoles que realmente se ayudan en Suiza,3065,1,12.22,1,informational,Immigration and permits; Working in Switzerland; Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
13,"juin 09, 2025 7:35:01 am",Españoles que realmente se ayudan en Suiza,1647,1,7.49,1,informational,Immigration and permits; Working in Switzerland; Housing,Trámites: permisos y residencia
14,"juin 10, 2025 7:20:00 am",Españoles que realmente se ayudan en Suiza,3585,1,13.95,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
15,"juin 11, 2025 11:50:02 am",Españoles que realmente se ayudan en Suiza,2319,1,9.73,1,informational,Swiss institutions; Working in Switzerland; Housing; Events and culture,Vivienda: alquiler y contratos
16,"juin 12, 2025 8:15:02 am",Españoles que realmente se ayudan en Suiza,2724,1,11.08,1,informational,Working in Switzerland; Health system; Events and culture,Salud: LAMal y sistema sanitario
17,"juin 14, 2025 8:38:51 am",Españoles que realmente se ayudan en Suiza,23,0,0.08,0,low-density,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
18,"juin 21, 2025 7:37:13 pm",Españoles que realmente se ayudan en Suiza,2542,1,10.47,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
19,"juil 07, 2025 2:23:44 pm",Españoles que realmente se ayudan en Suiza,3120,1,12.40,1,informational,Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
20,"juil 10, 2025 11:28:58 pm",Españoles que realmente se ayudan en Suiza,2166,0,9.22,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
21,"juil 12, 2025 8:36:03 am",Españoles que realmente se ayudan en Suiza,1132,1,5.77,1,informational,Working in Switzerland; Swiss politics,"Trabajo: empleo, contratos y derechos"
22,"juil 12, 2025 10:02:49 am",Españoles que realmente se ayudan en Suiza,1025,1,5.42,1,informational,Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
23,"juil 13, 2025 9:45:56 am",Españoles que realmente se ayudan en Suiza,2005,1,8.68,1,informational,Swiss institutions; Health system; Swiss politics,Salud: LAMal y sistema sanitario
24,"juil 13, 2025 7:25:01 pm",Españoles que realmente se ayudan en Suiza,1297,1,6.32,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
25,"juil 18, 2025 2:59:48 pm",Españoles que realmente se ayudan en Suiza,3568,1,13.89,1,informational,Swiss institutions; Working in Switzerland; Cost of living; Swiss politics; Local rules in Geneva,Vida local: Ginebra (normas y multas)
26,"juil 19, 2025 8:10:30 am",Españoles que realmente se ayudan en Suiza,2022,1,8.74,1,informational,Working in Switzerland; Housing; Cost of living; Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
27,"juil 21, 2025 9:13:43 am",Españoles que realmente se ayudan en Suiza,2109,1,9.03,1,informational,Working in Switzerland; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
28,"juil 21, 2025 1:52:10 pm",Españoles que realmente se ayudan en Suiza,739,1,4.46,1,informational,Working in Switzerland; Cost of living,Vida práctica: coste de vida
29,"juil 23, 2025 7:56:01 am",Españoles que realmente se ayudan en Suiza,1131,1,5.77,1,informational,Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
30,"juil 23, 2025 11:31:03 am",Españoles que realmente se ayudan en Suiza,2221,1,9.40,1,informational,Housing; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
31,"juil 23, 2025 6:14:48 pm",Españoles que realmente se ayudan en Suiza,1485,1,6.95,1,informational,Swiss politics; Community life,Sistema suizo: política y democracia directa
32,"juil 23, 2025 11:06:01 pm",Españoles que realmente se ayudan en Suiza,1507,1,7.02,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
33,"juil 23, 2025 11:06:04 pm",Punto de encuentro: Suiza,1506,1,7.02,1,informational,(unclassified),Miscelánea (Punto de encuentro: Suiza)
34,"juil 24, 2025 7:50:02 am",Españoles que realmente se ayudan en Suiza,2042,1,8.81,1,informational,Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
35,"juil 24, 2025 1:41:32 pm",EspaÑoles en Ginebra,1905,1,8.35,1,informational,Swiss institutions; Local rules in Geneva,Vida local: Ginebra (normas y multas)
36,"juil 24, 2025 1:41:35 pm",EspaÑoles en Ginebra,2011,1,8.70,1,informational,Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
37,"juil 24, 2025 5:23:10 pm",EspaÑoles en Ginebra,2240,1,9.47,1,informational,Housing; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
38,"juil 24, 2025 5:55:01 pm",Españoles que realmente se ayudan en Suiza,1856,1,8.19,1,informational,Events and culture,Vida local: eventos y cultura
39,"juil 24, 2025 11:34:38 pm",EspaÑoles en Ginebra,4251,1,16.17,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Housing; Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
40,"juil 25, 2025 6:45:02 am",Españoles que realmente se ayudan en Suiza,1616,1,7.39,1,informational,Housing; Local rules in Geneva,Vida local: Ginebra (normas y multas)
41,"juil 25, 2025 7:34:04 am",EspaÑoles en Ginebra,3451,1,13.50,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Cost of living; Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
42,"juil 25, 2025 8:18:36 am",EspaÑoles en Ginebra,1931,1,8.44,1,informational,Local rules in Geneva; Events and culture,Vida local: Ginebra (normas y multas)
43,"juil 25, 2025 11:43:55 am",EspaÑoles en Ginebra,2636,1,10.79,1,informational,Immigration and permits; Working in Switzerland; Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
44,"juil 25, 2025 5:50:02 pm",EspaÑoles en Ginebra,1618,1,7.39,1,informational,Housing; Local rules in Geneva,Vida local: Ginebra (normas y multas)
45,"juil 25, 2025 6:17:16 pm",Españoles que realmente se ayudan en Suiza,1763,1,7.88,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
46,"juil 25, 2025 6:17:20 pm",Punto de encuentro: Suiza,1820,1,8.07,1,informational,(unclassified),Miscelánea (Punto de encuentro: Suiza)
47,"juil 25, 2025 6:20:01 pm",Españoles que realmente se ayudan en Suiza,1887,1,8.29,1,informational,Swiss institutions; Local rules in Geneva,Vida local: Ginebra (normas y multas)
48,"juil 26, 2025 8:40:02 am",EspaÑoles en Ginebra,1932,1,8.44,1,informational,Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
49,"juil 26, 2025 1:53:16 pm",EspaÑoles en Ginebra,810,1,4.70,1,informational,Immigration and permits; Housing; Cost of living; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
50,"juil 26, 2025 1:53:18 pm",Españoles que realmente se ayudan en Suiza,810,1,4.70,1,informational,Immigration and permits; Housing; Cost of living; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
51,"juil 26, 2025 1:53:35 pm",Punto de encuentro: Suiza,810,1,4.70,1,informational,Immigration and permits; Housing; Cost of living; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
52,"juil 26, 2025 4:09:28 pm",EspaÑoles en Ginebra,888,1,4.96,1,informational,Immigration and permits; Working in Switzerland; Local rules in Geneva; Community life; Events and culture,Vida local: Ginebra (normas y multas)
